shape: (102, 6)
┌──────────┬──────────┬───────────────┬───────────┬────────────────────────┬─────────────────────┐
│ Sensor 1 ┆ Sensor 2 ┆ Paired Points ┆ DC Offset ┆ Tracking Variation STD ┆ Pearson Correlation │
│ ---      ┆ ---      ┆ ---           ┆ ---       ┆ ---                    ┆ ---                 │
│ SP1      ┆ 40D      ┆ 27009         ┆ -59.95    ┆ 17.32                  ┆ 0.978               │
│ SP1      ┆ 40E      ┆ 27009         ┆ 11.85     ┆ 12.52                  ┆ 0.989               │
│ SP1      ┆ 40F      ┆ 27009         ┆ -61.82    ┆ 15.48                  ┆ 0.982               │
│ SP1      ┆ SP2      ┆ 27009         ┆ 46.66     ┆ 13.73                  ┆ 0.991               │
│ SP1      ┆ SP3      ┆ 27009         ┆ -74.53    ┆ 15.27                  ┆ 0.991               │
│ SP3      ┆ 0A       ┆ 28267         ┆ 24.54     ┆ 14.71                  ┆ 0.993               │
│ SP3      ┆ 0B       ┆ 28267         ┆ 15.61     ┆ 15.59                  ┆ 0.99                │
│ SP3      ┆ 10A      ┆ 28267         ┆ 48.59     ┆ 18.28                  ┆ 0.991               │
│ SP3      ┆ 10B      ┆ 28267         ┆ 42.77     ┆ 22.6                   ┆ 0.986               │
│ SP3      ┆ 20A      ┆ 28267         ┆ -22.3     ┆ 13.07                  ┆ 0.993               │
│ SP3      ┆ 20B      ┆ 28267         ┆ 36.66     ┆ 21.19                  ┆ 0.989               │
│ SP3      ┆ 20C      ┆ 28267         ┆ 30.01     ┆ 18.49                  ┆ 0.985               │
│ SP3      ┆ 30A      ┆ 28267         ┆ 127.14    ┆ 21.26                  ┆ 0.986               │
│ SP3      ┆ 30B      ┆ 28263         ┆ 85.78     ┆ 18.4                   ┆ 0.988               │
│ SP3      ┆ 40A      ┆ 28267         ┆ 45.93     ┆ 18.53                  ┆ 0.987               │
│ SP3      ┆ 40B      ┆ 28267         ┆ 58.1      ┆ 15.74                  ┆ 0.994               │
│ SP3      ┆ 40C      ┆ 28267         ┆ 35.8      ┆ 13.09                  ┆ 0.993               │
│ SP3      ┆ 40D      ┆ 28267         ┆ 16.68     ┆ 22.59                  ┆ 0.974               │
│ SP3      ┆ 40E      ┆ 28267         ┆ 87.86     ┆ 18.66                  ┆ 0.991               │
│ SP3      ┆ 40F      ┆ 28266         ┆ 14.05     ┆ 18.4                   ┆ 0.986               │
│ SP3      ┆ SP1      ┆ 27009         ┆ 74.53     ┆ 15.27                  ┆ 0.991               │
│ SP3      ┆ SP2      ┆ 28267         ┆ 122.33    ┆ 21.51                  ┆ 0.994               │
└──────────┴──────────┴───────────────┴───────────┴────────────────────────┴─────────────────────┘
